IdSensore;NomeTipoSensore;UnitaMisura;Idstazione;NomeStazione;Quota;DataStart;lat;lng
12671;Benzo(a)pirene;ng/mü;703;Schivenoglia v. Malpasso;NULL;22/02/2008;45016877820755400,00;1107609463264050,00
10336;Particolato Totale Sospeso;æg/mü;709;Vigevano v.Valletta;109;07/08/2007;45303607869655700,00;8844804609965440,00
6276;Ossidi di Azoto;æg/mü;606;San Giuliano Milanese via Milano;97;13/01/2000;4539619462552720,00;9282700075557840,00
6300;Ossidi di Azoto;æg/mü;544;Cormano v. Edison;153;24/10/1994;45551041944372400,00;9162613653151320,00
9984;Particelle sospese PM2.5;æg/mü;669;Brescia Villaggio Sereno;70;06/06/2006;45513038818653800,00;1019194188877930,00
20442;Monossido di Azoto;æg/mü;681;Moggio Loc. Penscei;1194;16/03/2007;4591278752030290,00;9497538167653420,00
9798;Monossido di Carbonio;mg/mü;670;Mantova S.Agnese;22;28/12/2004;4516056833010580,00;1079556411370790,00
6871;Biossido di Azoto;æg/mü;663;Mantova v.Ariosto;18;01/01/2003;4514526012578900,00;1080332595007930,00
20494;Monossido di Azoto;æg/mü;1801;Brescia v.Tartaglia;151;;45542647891822800,00;10211205215118300,00
6818;Ozono;æg/mü;656;Gambara v.Parma;47;15/02/1990;4524954362474620,00;10299119496064100,00
5950;Biossido di Azoto;æg/mü;626;Corte de' Cortesi con Cignone v. Villa Strada Forca;57;17/05/1996;4527848755478840,00;10006202391204300,00
6880;Biossido di Azoto;æg/mü;665;Viadana v. Cavalli;37;25/10/2003;4492469404955070,00;10517502067117800,00
10329;Ossidi di Azoto;æg/mü;708;Parona v. della Miseria;112;01/10/2007;45281935610357900,00;8754334594539820,00
9996;Ossidi di Azoto;æg/mü;682;Ferrera Erbognone ENI;88;21/01/2006;4511350314482960,00;8874064848882610,00
10352;PM10 (SM2005);æg/mü;517;Turbigo vicolo dello sport;141;01/01/2008;4552655086994250,00;8736496578379210,00
6761;Biossido di Azoto;æg/mü;649;Brescia v.Broletto;149;01/01/1983;45540057846971400,00;10222818449274200,00
5750;Ozono;æg/mü;552;Varese v.Vidoletti;425;23/12/1991;4583690077655550,00;880392612667495,00
5798;Monossido di Carbonio;mg/mü;561;Como v.Cattaneo;202;17/02/1991;4581504286011290,00;906697137484454,00
10505;Ossidi di Azoto;æg/mü;1269;Dalmine v.Verdi;207;12/02/2010;4564970251236250,00;9601223338785260,00
5572;Biossido di Azoto;æg/mü;569;Sondrio v.Mazzini;307;01/11/1993;4616796681227830,00;987014407497457,00
5960;Ozono;æg/mü;629;Crema v.XI febbraio;79;28/04/1996;45366309078194300,00;9703945513613170,00
10173;PM10 (SM2005);æg/mü;703;Schivenoglia v. Malpasso;NULL;01/01/2007;45016877820755400,00;1107609463264050,00
5548;Biossido di Azoto;æg/mü;545;Motta Visconti v. De Gasperi;100;17/03/1998;45281956197427800,00;8988562726793250,00
9978;Particelle sospese PM2.5;æg/mü;609;Casirate d'Adda v. Cimitero;108;11/11/2005;4549822713394490,00;9556232262351760,00
6935;PM10 (SM2005);æg/mü;592;Treviglio p.zza Insurrezione;191;03/02/2000;4551933498138720,00;9592009994888420,00
6947;PM10 (SM2005);æg/mü;643;Pavia p.zza Minerva;77;06/06/2002;4518632908049480,00;9146666041286780,00
12022;Particelle sospese PM2.5;æg/mü;1297;Spinadesco v.Battisti;48;16/02/2011;45150468869856800,00;9930596472272330,00
6262;Ossidi di Azoto;æg/mü;603;Castiraga Vidardo v.Craxi;74;13/01/2000;4526232519992150,00;9400281323067920,00
6212;Ossidi di Azoto;æg/mü;596;Osio Sotto v.per Levate;182;06/04/2000;4562055567939560,00;9611737821812370,00
12584;PM10 (SM2005);æg/mü;627;Cremona P.zza Cadorna;39;01/01/2012;4513194691285170,00;10015741513336000,00
20488;Particelle sospese PM2.5;æg/mü;564;Erba v. Battisti;279;;45808573806923000,00;9221779204488440,00
6232;Ossidi di Azoto;æg/mü;561;Como v.Cattaneo;202;01/01/1991;4581504286011290,00;906697137484454,00
10339;PM10 (SM2005);æg/mü;629;Crema v.XI febbraio;79;25/09/2007;45366309078194300,00;9703945513613170,00
5823;Monossido di Carbonio;mg/mü;539;Milano v.Liguria;115;20/10/1991;45443857653564900,00;9167944501742680,00
10450;Particelle sospese PM2.5;æg/mü;655;Darfo Boario Terme v. De Amicis;221;23/12/2008;4587460210989040,00;1017735680898140,00
6268;Ossidi di Azoto;æg/mü;600;Lodi v.Vignati;80;30/12/1999;4530601298752380,00;948526286320174,00
5561;Biossido di Azoto;æg/mü;558;Busto Arsizio  Accam;206;06/12/1998;45582894292717700,00;8842165456706070,00
5790;Monossido di Carbonio;mg/mü;592;Treviglio p.zza Insurrezione;191;01/12/1994;4551933498138720,00;9592009994888420,00
