denominazione,latitudine,longitudine,provincia
Cappella de' Picenardi,45.1595212,10.231117,CR
Capralba,45.445,9.6443888,CR
Casalbuttano ed Uniti,45.2528148,9.9628333,CR
Casale Cremasco-Vidolasco,45.4328148,9.7153333,CR
Casaletto Ceredano,45.318144,9.6191624,CR
Casaletto di Sopra,45.4198936,9.7822673,CR
Casaletto Vaprio,45.4092407,9.6298518,CR
Casalmaggiore,44.9860167,10.4151026,CR
Casalmorano,45.2873518,9.9007962,CR
Castel Gabbiano,45.4693229,9.7164146,CR
Casteldidone,45.0704814,10.4073518,CR
Castelleone,45.2948518,9.7628333,CR
Castelverde,45.1898703,9.9967407,CR
Castelvisconti,45.3064335,9.9421768,CR
Cella Dati,45.0962592,10.2225,CR
